SIGNAL,CEC,SYSTEM,SCENE,LISTENER,PROMPT,NWORDS,HITS,CORRECT,RESPONSE,SEVERITY
CEC1_E001_S08518_L0227,CEC1,CEC1E001,S08518,L0227,does this boat have a sound system nick,8,1,12.5,some sort of system,Moderate
CEC1_E001_S08530_L0241,CEC1,CEC1E001,S08530,L0241,government spending must also be approved by parliament,8,0,0,#,Moderate
CEC1_E001_S08532_L0242,CEC1,CEC1E001,S08532,L0242,the term mixed race is also inaccurate,7,0,0,#,Moderately severe
CEC1_E001_S08537_L0229,CEC1,CEC1E001,S08537,L0229,it will remain off the song sheet,7,0,0,#,Mild
CEC1_E001_S08537_L0242,CEC1,CEC1E001,S08537,L0242,it will remain off the song sheet,7,0,0,#,Moderately severe
CEC1_E001_S08540_L0212,CEC1,CEC1E001,S08540,L0212,i bet you haven't any more than i did,9,0,0,#,Moderate
CEC1_E001_S08554_L0218,CEC1,CEC1E001,S08554,L0218,birth control however is a very controversial issue,8,8,100,birth control however is a very controversial issue,Mild
CEC1_E001_S08554_L0221,CEC1,CEC1E001,S08554,L0221,birth control however is a very controversial issue,8,8,100,birth control however is a very controversial issue,Moderate
CEC1_E001_S08555_L0202,CEC1,CEC1E001,S08555,L0202,he had his black chest out too,7,3,42.8571428571429,he had a black top on,Moderate
CEC1_E001_S08558_L0227,CEC1,CEC1E001,S08558,L0227,finally allow time for discussion and evaluation of the visit,10,0,0,to get to,Moderate
CEC1_E001_S08558_L0241,CEC1,CEC1E001,S08558,L0241,finally allow time for discussion and evaluation of the visit,10,0,0,#,Moderate
CEC1_E001_S08561_L0208,CEC1,CEC1E001,S08561,L0208,i predict that the car will crash,7,7,100,i predict that the car will crash,Moderate
CEC1_E001_S08564_L0212,CEC1,CEC1E001,S08564,L0212,at home indoors i didn't ask my mum,8,0,0,#,Moderate
CEC1_E001_S08566_L0218,CEC1,CEC1E001,S08566,L0218,there was an unkempt look about him,7,0,0,#,Mild
CEC1_E001_S08569_L0219,CEC1,CEC1E001,S08569,L0219,only i remember and nothing can be done,8,7,87.5,only i remember and nothing could be done,Moderate
CEC1_E001_S08574_L0212,CEC1,CEC1E001,S08574,L0212,he couldn't make any sense of it at all,9,0,0,#,Moderate
CEC1_E001_S08575_L0240,CEC1,CEC1E001,S08575,L0240,his voice strained like a young stallion on a halter,10,7,70,his voice changed like a young scallion on a hottie ,Mild
CEC1_E001_S08576_L0229,CEC1,CEC1E001,S08576,L0229,stay in the car if you don't mind,8,0,0,apart,Mild
CEC1_E001_S08576_L0235,CEC1,CEC1E001,S08576,L0235,stay in the car if you don't mind,8,8,100,stay in the car if you don't mind,Mild
CEC1_E001_S08578_L0224,CEC1,CEC1E001,S08578,L0224,get out of my way at once,7,0,0,#,Moderate
CEC1_E001_S08579_L0219,CEC1,CEC1E001,S08579,L0219,he heard them whispering by the door,7,1,14.2857142857143,we heard,Moderate
CEC1_E001_S08582_L0215,CEC1,CEC1E001,S08582,L0215,outside in the open air it was glorious,8,7,87.5,in the open air it was glorious,Moderate
CEC1_E001_S08587_L0222,CEC1,CEC1E001,S08587,L0222,my first call was met with polite efficiency,8,1,12.5,our first,Moderate
CEC1_E001_S08590_L0202,CEC1,CEC1E001,S08590,L0202,you must try not to let her worry,8,0,0,#,Moderate
CEC1_E001_S08592_L0243,CEC1,CEC1E001,S08592,L0243,i had a very strong reaction to the first episode,10,9,90,had a very strong reaction to the first episode ,Mild
CEC1_E001_S08593_L0212,CEC1,CEC1E001,S08593,L0212,so then in frustration she had to retreat,8,0,0,#,Moderate
